subject_id,subject_label,subject_category,predicate_id,object_id,object_label,object_category,confidence,author_id,reviewer_id,mapping_date,mapping_justification
http://id.nlm.nih.gov/mesh/M0019418,Saphenous Vein,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0007318,saphenous vein,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019469,Scapula,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0006849,scapula,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019523,Schwann Cells,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/CL_0002573,Schwann cell,http://purl.obolibrary.org/obo/CL_0000000,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019524,Sciatic Nerve,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0001322,sciatic nerve,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019537,Sclera,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0001773,sclera,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019566,Scrotum,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0001300,scrotum,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019583,Sebaceous Glands,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0001821,sebaceous gland,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019625,Sella Turcica,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0003689,sella turcica,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019637,Lunate Bone,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0001428,intermedium,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
http://id.nlm.nih.gov/mesh/M0019638,Trigeminal Ganglion,http://id.nlm.nih.gov/mesh/vocab#Concept,skos:exactMatch,http://purl.obolibrary.org/obo/UBERON_0001675,trigeminal ganglion,http://purl.obolibrary.org/obo/UBERON_0001062,1,orcid:0000-0002-7500-8096|orcid:0000-0001-8314-2140,orcid:0000-0002-7500-8096,2025-06-05,semapv:MappingReview
